Título,Nota,N_Avaliações,Desconto,Marca,Material,Gênero,Temporada,Review1,Review2,Review3,Qtd_Vendidos,Preço,Marca_Cod,Material_Cod,Temporada_Cod,Marca_Freq,Nota_MinMax,N_Avaliações_MinMax,Desconto_MinMax,Preço_MinMax,Material_Freq
Kit 4 Cuecas Boxer Lupo Em Algodão Masculina Cotton Original,4.6,2382.0,22.0,Lupo,Algodão,Masculino,Primavera/Verão,"Muito bom , eu sempre gostei de usar cueca com folga mas resolvi seguir as orientações das medidas na tabela e ficou ótimo. Peguei a m (normalmente pego um tamanho acima) mas ficou muito bom, perfeito. Se tivesse arriscado no tamanho g teria ficado muito largo. Tenho 1. 75 altura e 76kg.",As cuecas são de péssima qualidade as mais falsas que existe. Eu uso cuecas lupo há muito tempo não gostei porque é anunciado como original. Estou só o ódio.,"Eu tenho 1,80 e peso 80 kg, a g ficou perfeita.",10000,89.9,463,25,7,0.0422919508867667,0.8518518518518517,0.2624215049025008,0.33333333333333337,0.13474983800006823,0.1820760068065797
Kit 2 Cuecas Boxer Lupo Basic Microfibra Sem Costura Box,4.8,1429.0,30.0,Lupo,Microfibra,Masculino,Primavera/Verão,Excelente produto e muito durável. Não sei como vai ser pq este produto dura muito. Comprei novo conjunto depois de quase 3 anos. Então se você quiser esquecer de comprar cueca pelo menos por 3 anos este é o produto ideal.,"Já conhecia esse produto de alta qualidade e preço baixo, tenho uma cueca dessa a 5 anos e ainda vai servir por mais tempo kkk, as cuecas de poliamida da lupo são excelentes, já as de algodão não duram um mês, não comprem as de algodão, comprem essa de poliamida são muito boas e bem duráveis m.","Produto original, estava com medo de comprar e não ser igual ao original porém me surpreendeu a qualidade do produto em breve vou comprar mais cuecas!.",10000,69.99,463,101,7,0.0422919508867667,0.9259259259259259,0.15743086922992178,0.4545454545454546,0.10079806282186829,0.030062393647192286
Roupa Chef De Cozinha Dolmã Masculino Manga Curta Oxford,4.6,0.0,5.0,M L Freitas Confecções,Poliéster,Sem Gênero,Não Definido,Sem comentários,Sem comentários,Sem comentários,50,68.54,467,122,1,0.0013642564802182,0.8518518518518517,0.0,0.07575757575757576,0.09832543228402853,0.12592172433352242
Roupa De Bebê Romper Menina Bailarina Top C/ Laço Luxo Lindo,4.7,39.0,10.0,Petit Ateliê,Indeterminado,Bebês,Primavera/Verão,"Lindoo dmaissss 💓.
Ficou perfeito na minha princesa.",Perfeito amei. Lindo e delicado.,"Comprei o gg minha bebê vai fazer 8mes achei bem pequeno pois na descrição fala que o gg é de 9mes a 1 ano, mais ameiii super lindo é igualzinho o da foto.",100,72.61,599,178,7,0.0013642564802182,0.888888888888889,0.004296573757849509,0.15151515151515152,0.10526585041437878,0.3828701077708451
2 Máscara De Proteção Lupo Dupla Camada Reutilizável Lavável,4.9,52.0,34.0,Lupo,Indeterminado,Sem Gênero,Não Definido,Adorei.,Ótima.,"Muito bom produto, confortavel e bem leve !!!!.",1000,39.39,463,178,1,0.0422919508867667,0.9629629629629631,0.005728765010466013,0.5151515151515151,0.048617032161249615,0.3828701077708451
Pijama Masculino Botão Adulto Blusa Manga Curta E Shorts,4.8,704.0,0.0,Paraíso Da Lingerie,Poliéster,Masculino,Primavera/Verão,"Exatamente como esperado. Produto de boa qualidade, lavei imediatamente após abrir o pacote e não encolheu nem desbotou. Comprei g e meu marido pesa 68kg mas ele gosta de bem folgado. Ele gostou muito.","De boa qualidade, tecido macio e tamanho adequado. Tenho 1. 80, 84 kilos e comprei o médio, ficou perfeito! se tiver uma barriguinha melhor o g, só este detalhe.","Bom produto! tenho 1,73 de altura e 79kg e ficou um pouco grande o g. O m ficaria perfeito.",5000,53.99,593,122,7,0.0031832651205093,0.9259259259259259,0.07755866475707833,0.0,0.07351386378363631,0.12592172433352242
Roupa Ere Umbanda Candomble,4.6,0.0,0.0,Cigana Dos Ventos,Tricoline,Masculino,Primavera/Verão,Sem comentários,Sem comentários,Sem comentários,5,139.61,184,168,7,0.0013642564802182,0.8518518518518517,0.0,0.0,0.21951843388697526,0.0005672149744753262
Kit Com 2 Shorts Feminino Básico Sem Costura Loba Macio Lupo,4.6,0.0,0.0,Lupo,Poliamida,Feminino,Primavera/Verão,Sem comentários,Sem comentários,Sem comentários,3,72.9,463,116,7,0.0422919508867667,0.8518518518518517,0.0,0.0,0.10576037652194674,0.02098695405558707
Kit 6 Cuecas/calcinhas Treinamento P/ Desfralde Dos Bebes,4.4,363.0,0.0,Importado,Indeterminado,Bebês,Não Definido,"Minha filha pesa 15 kilos ,por isso pedi o tamanho g q vai de 15 a 18 kilos,nas pernas ficou muito apertadas,no corpo ficou muito grande,outro detalhe e que não cumpre o q promete não segura nada, nem pequenos escapes,o forro e muito fino ,pra mim foi minha pior compra,dinheiro jogado fora,so não fiz a devolução pq não conhecia o produto e tinha q fazer uso pra conhecer, essa foi uma compra q me arrependir,não se iludam essas calcinhas de treinamento não presta ,eu me arrependo muito por ter feito essa compra. Não recomendo pra ninguém, são pesssimas.
Esse é meu dessabafo.
Coloquei em letras maisculas pra chamar atenção.","Deu super certo por aqui. Minha filha pesa 14kg. Comprei a tamanho 100. E está segurando o xixi. Na vdd quando ela faz mto xixi, ele não vaza mas fica na calcinha. Na hora de tirar tem q tomar cuidado pra não escorrer. Mas pelo menos não fica vazando pela casa. Ela adorou. É mto confortável. Super recomendo!.","O produto é de excelente qualidade. Segura perfeitamente os escapes, evitando que se forme uma poça no chão. Quando o fluxo é bem pequeno, nem sequer molha a calça ou short que a criança estiver vestindndo. O tamanho é perfeito, dá pra usar bastante tempo. Amei!.",1000,139.9,367,178,1,0.0009095043201455,0.777777777777778,0.03999118651536851,0.0,0.22001295999454318,0.3828701077708451
Organizador Necessaire Mala Kit 6 Pratico Look Roupas Viagem,4.4,361.0,13.0,Genérica,Náilon,Sem Gênero,Não Definido,"Os necessers são bacanas , ótimo para organizar a mala. Mas veio com problema no zíper em um, outro veio com o zíper sem abrir todo, e em um kit veio faltando uma necesser.","Produto útil mas extremamente frágil. Comprei 2 kits, um deles veio com um dos itens com o zíper estragado. No outro kit, dois itens rasgaram na costura, mesmo sendo manuseado com cuidado e não estando totalmente cheios.","Perfeito, já sobreviveu a duas viagens sem danos.",5000,39.71,327,110,1,0.0095497953615279,0.777777777777778,0.03977084939958136,0.19696969696969696,0.04916271614201426,0.003403289846851957
